sample_id	MEND	Gene	Expression	Type	Threshold	effective_length
TH01_0069_S01	18836783.99	FAM162A	3.12267271882	Down	3.73846054077	857.87
TH03_0029_S01	17607899.54	METTL5	3.78450398293	Down	4.17422485352	704.58
TH03_0019_S01	16860989.6	DPYS	4.69376571222	Up	1.91260015965	847.66
TH03_0148_S01	17333142.06	NT5DC4	3.05311133646	Up	0.419368445873	886.65
TH01_0069_S01	18836783.99	SUPT4H1	3.35473423997	Down	4.90903568268	657.19
TH03_0004_S03	17986551.18	RP11-162P23.2	4.40939093614	Up	3.7265753746	623.95
TH03_0004_S03	17986551.18	TSPO	3.36176835942	Down	4.01532936096	616.54
TH01_0069_S01	18836783.99	ARPC3	4.14649230698	Down	6.75108909607	840.89
TH03_0004_S03	17986551.18	H2AFZ	4.98322165074	Down	5.07685804367	818.58
TH03_0004_S03	17986551.18	LINC01578	3.65764000521	Down	3.83336210251	717.55
TH01_0069_S01	18836783.99	PSME2	3.00539998774	Down	5.40855646133	768.37
TH01_0069_S01	18836783.99	PRDX1	3.24184018356	Down	6.60130739212	849.58
TH03_0029_S01	17607899.54	FAM166B	4.24107745818	Up	2.12377333641	768.49
TH03_0019_S01	16860989.6	MRAP	3.22650852981	Up	0.344080448151	739.82
TH01_0069_S01	18836783.99	TBCB	3.4841381312	Down	5.0904164314300004	652.18
TH01_0069_S01	18836783.99	THYN1	3.12267271882	Down	3.27948212624	785.88
TH01_0069_S01	18836783.99	GPX4	4.90592847817	Down	6.69181966782	625.17
TH03_0029_S01	17607899.54	RP11-442H21.2	4.28688114779	Up	4.27328872681	684.99
TH01_0069_S01	18836783.99	C11orf31	3.85996954822	Down	5.224360466	631.87
TH01_0069_S01	18836783.99	PSME1	4.41616416473	Down	5.90492343903	826.55
TH03_0148_S01	17333142.06	NCR3	3.43028527298	Up	2.21386599541	819.82
TH03_0019_S01	16860989.6	RP11-16E12.2	3.82680268429	Up	2.89203810692	803.9
TH01_0069_S01	18836783.99	SMIM7	3.55213110825	Down	4.61840009689	892.41
TH03_0022_S01	19155446.695	RFX8	3.38543103719	Up	1.59990644455	823.35
TH01_0069_S01	18836783.99	MRPS33	3.55581615506	Down	4.41419887543	627.76
TH03_0019_S01	16860989.6	NAT8	3.04614178164	Up	0.819309175014	794.93
TH01_0069_S01	18836783.99	PSMA7	3.94204525992	Down	5.90152263641	813.02
TH01_0069_S01	18836783.99	SNAPIN	3.19849415364	Down	3.69458675385	843.17
TH03_0029_S01	17607899.54	SDHAF2	3.90014226036	Down	4.03148031235	712.55
TH03_0004_S03	17986551.18	PSMG3	3.26303440583	Down	3.31090688705	668.57
TH01_0069_S01	18836783.99	C14orf166	3.94392132655	Down	5.9913020134	760.02
TH03_0014_S01	18738948.915	LY6H	4.05398016819	Up	3.51266264915	771.25
TH01_0069_S01	18836783.99	COA3	3.43696133783	Down	4.74264001846	604.86
TH03_0148_S01	17333142.06	PNOC	3.73335434061	Up	3.31618642807	895.45
TH01_0069_S01	18836783.99	NDUFA13	4.94110631095	Down	6.38804960251	705.46
TH03_0014_S01	18738948.915	GZMM	4.63981097772	Up	3.95146489143	758.31
TH01_0069_S01	18836783.99	CSNK2B	3.69932952567	Down	6.47747612	784.59
TH03_0029_S01	17607899.54	TRPT1	3.31034012061	Down	3.59840393066	809.31
TH03_0004_S03	17986551.18	IGSF23	3.62293035092	Up	0.504391551018	629.49
TH01_0069_S01	18836783.99	EXOSC7	3.09929520434	Down	3.23519515991	870.29
TH03_0004_S03	17986551.18	DUT	3.94016675048	Down	4.27381038666	746.4
TH03_0019_S01	16860989.6	STYXL1	3.04963076772	Down	3.5990447998	814.3
TH03_0148_S01	17333142.06	SNRPE	3.56193705962	Down	5.22194576263	620.97
